*Scheduled	Actual
07/02/1980 11:35 AM	07/02/1980 11:35 AM
07/02/1980 12:00 PM	07/02/1980 12:00 PM
07/02/1980 12:03 PM	07/02/1980 12:05 PM
07/02/1980 12:05 PM	07/02/1980 12:05 PM
07/02/1980 12:30 PM	07/02/1980 12:55 PM
07/02/1980 12:35 PM	07/02/1980 12:54 PM
07/02/1980 1:00 PM	07/02/1980 1:01 PM
07/02/1980 1:03 PM	07/02/1980 1:03 PM
07/02/1980 1:20 PM	07/02/1980 1:23 PM
07/02/1980 2:00 PM	07/02/1980 2:11 PM
07/02/1980 2:00 PM	07/02/1980 2:01 PM
07/02/1980 2:11 PM	07/02/1980 2:11 PM
07/02/1980 2:15 PM	07/02/1980 2:15 PM
07/02/1980 2:20 PM	07/02/1980 2:20 PM
07/02/1980 2:44 PM	07/02/1980 2:44 PM
07/02/1980 3:00 PM	07/02/1980 3:28 PM
07/02/1980 3:00 PM	07/02/1980 3:02 PM
07/02/1980 3:05 PM	07/02/1980 3:05 PM
07/02/1980 3:15 PM	07/02/1980 3:48 PM
07/02/1980 3:15 PM	07/02/1980 3:19 PM
07/02/1980 3:30 PM	07/02/1980 3:33 PM
07/02/1980 3:35 PM	07/02/1980 3:57 PM
07/02/1980 3:40 PM	07/02/1980 3:40 PM
07/02/1980 4:00 PM	07/02/1980 4:18 PM
07/02/1980 4:00 PM	07/02/1980 4:00 PM
07/02/1980 4:03 PM	07/02/1980 4:03 PM
07/02/1980 4:05 PM	07/02/1980 4:05 PM
07/02/1980 4:40 PM	07/02/1980 6:32 PM
07/02/1980 4:42 PM	07/02/1980 4:45 PM
07/02/1980 5:00 PM	07/02/1980 5:09 PM
07/02/1980 5:00 PM	07/02/1980 5:00 PM
07/02/1980 5:10 PM	07/02/1980 5:10 PM
07/02/1980 5:39 PM	07/02/1980 5:39 PM
07/02/1980 5:42 PM	07/02/1980 6:25 PM
07/02/1980 5:47 PM	07/02/1980 5:55 PM
07/02/1980 6:00 PM	07/02/1980 6:00 PM
07/02/1980 6:00 PM	07/02/1980 6:22 PM
07/02/1980 6:25 PM	07/02/1980 6:26 PM
07/02/1980 6:35 PM	07/02/1980 6:35 PM
07/02/1980 6:45 PM	07/02/1980 6:51 PM
07/02/1980 6:45 PM	07/02/1980 9:35 PM
07/02/1980 7:00 PM	07/02/1980 7:00 PM
07/02/1980 7:00 PM	07/02/1980 7:14 PM
07/02/1980 7:15 PM	07/02/1980 7:15 PM
07/02/1980 7:40 PM	07/02/1980 7:59 PM
07/02/1980 7:50 PM	07/02/1980 7:58 PM
07/02/1980 8:00 PM	07/02/1980 8:14 PM
07/02/1980 8:55 PM	07/02/1980 8:55 PM
07/02/1980 8:57 PM	07/02/1980 9:11 PM
07/02/1980 9:05 PM	07/02/1980 9:16 PM
07/02/1980 9:10 PM	07/02/1980 9:11 PM
07/02/1980 10:05 PM	07/02/1980 10:07 PM
07/02/1980 10:45 PM	07/02/1980 10:45 PM
07/02/1980 11:15 PM	07/02/1980 11:15 PM
07/03/1980 2:40 AM	07/03/1980 3:01 AM
07/03/1980 3:00 AM	
07/03/1980 5:45 AM	07/03/1980 5:45 AM
07/03/1980 6:05 AM	07/03/1980 6:06 AM
07/03/1980 6:45 AM	07/03/1980 6:45 AM
07/03/1980 6:45 AM	07/03/1980 6:46 AM
07/03/1980 7:00 AM	07/03/1980 7:00 AM
07/03/1980 7:00 AM	07/03/1980 7:00 AM
07/03/1980 7:05 AM	07/03/1980 7:05 AM
07/03/1980 7:15 AM	07/03/1980 7:16 AM
07/03/1980 8:00 AM	07/03/1980 8:00 AM
07/03/1980 8:03 AM	07/03/1980 8:04 AM
07/03/1980 8:05 AM	07/03/1980 8:06 AM
07/03/1980 8:15 AM	07/03/1980 8:16 AM
07/03/1980 9:00 AM	07/03/1980 9:00 AM
07/03/1980 9:05 AM	07/03/1980 9:05 AM
07/03/1980 9:09 AM	07/03/1980 9:10 AM
07/03/1980 10:00 AM	07/03/1980 10:05 AM
07/03/1980 10:00 AM	07/03/1980 10:03 AM
07/03/1980 10:05 AM	07/03/1980 10:06 AM
07/03/1980 10:20 AM	07/03/1980 10:23 AM
07/03/1980 10:52 AM	07/03/1980 10:52 AM
07/03/1980 11:02 AM	07/03/1980 11:02 AM
07/03/1980 11:05 AM	07/03/1980 11:09 AM
07/03/1980 11:20 AM	07/03/1980 11:20 AM
07/03/1980 11:30 AM	07/03/1980 11:30 AM
07/03/1980 12:00 PM	07/03/1980 12:00 PM
07/03/1980 12:03 PM	07/03/1980 12:03 PM
07/03/1980 12:05 PM	07/03/1980 12:05 PM
07/03/1980 1:00 PM	07/03/1980 1:02 PM
07/03/1980 1:05 PM	07/03/1980 1:06 PM
07/03/1980 1:17 PM	07/03/1980 1:17 PM
07/03/1980 1:20 PM	07/03/1980 1:20 PM
07/03/1980 2:00 PM	07/03/1980 2:35 PM
07/03/1980 2:05 PM	07/03/1980 2:10 PM
07/03/1980 2:15 PM	07/03/1980 2:17 PM
07/03/1980 3:00 PM	07/03/1980 3:00 PM
07/03/1980 3:00 PM	07/03/1980 3:29 PM
07/03/1980 3:04 PM	07/03/1980 3:04 PM
07/03/1980 3:13 PM	07/03/1980 3:17 PM
07/03/1980 3:15 PM	07/03/1980 3:17 PM
07/03/1980 3:15 PM	07/03/1980 3:18 PM
07/03/1980 3:40 PM	07/03/1980 3:47 PM
07/03/1980 4:05 PM	07/03/1980 4:10 PM
07/03/1980 4:30 PM	07/03/1980 4:30 PM
07/03/1980 5:00 PM	07/03/1980 5:00 PM
07/03/1980 5:05 PM	07/03/1980 5:05 PM
07/03/1980 5:15 PM	07/03/1980 5:15 PM
07/03/1980 5:17 PM	07/03/1980 5:17 PM
07/03/1980 6:05 PM	07/03/1980 6:10 PM
07/03/1980 7:00 PM	07/03/1980 7:13 PM
07/03/1980 7:01 PM	07/03/1980 7:03 PM
07/03/1980 7:15 PM	07/03/1980 7:15 PM
07/03/1980 7:53 PM	07/03/1980 7:53 PM
07/03/1980 8:00 PM	07/03/1980 8:00 PM
07/03/1980 8:01 PM	07/03/1980 8:01 PM
07/03/1980 9:05 PM	07/03/1980 9:05 PM
07/03/1980 9:15 PM	07/03/1980 9:15 PM
07/03/1980 11:05 PM	07/03/1980 11:05 PM
07/03/1980 11:35 PM	07/03/1980 11:35 PM
07/04/1980 2:40 AM	07/04/1980 2:40 AM
07/04/1980 3:00 AM	07/04/1980 3:00 AM
07/04/1980 5:45 AM	07/04/1980 5:52 AM
07/04/1980 6:05 AM	07/04/1980 6:09 AM
07/04/1980 6:45 AM	07/04/1980 6:49 AM
07/04/1980 7:00 AM	07/04/1980 7:00 AM
07/04/1980 7:00 AM	07/04/1980 7:00 AM
07/04/1980 7:05 AM	07/04/1980 7:05 AM
07/04/1980 7:15 AM	07/04/1980 7:16 AM
07/04/1980 8:00 AM	07/04/1980 8:00 AM
07/04/1980 8:03 AM	07/04/1980 8:03 AM
07/04/1980 8:05 AM	07/04/1980 8:09 AM
07/04/1980 8:15 AM	07/04/1980 8:15 AM
07/04/1980 9:00 AM	07/04/1980 9:00 AM
07/04/1980 9:05 AM	07/04/1980 9:05 AM
07/04/1980 9:09 AM	07/04/1980 9:09 AM
07/04/1980 10:00 AM	07/04/1980 10:00 AM
07/04/1980 10:00 AM	07/04/1980 10:00 AM
07/04/1980 10:05 AM	07/04/1980 10:06 AM
07/04/1980 10:20 AM	07/04/1980 10:20 AM
07/04/1980 10:52 AM	07/04/1980 10:52 AM
07/04/1980 11:02 AM	07/04/1980 11:04 AM
07/04/1980 11:05 AM	07/04/1980 11:07 AM
07/04/1980 11:20 AM	07/04/1980 11:20 AM
07/04/1980 11:30 AM	07/04/1980 11:33 AM
07/04/1980 12:00 PM	07/04/1980 12:05 PM
07/04/1980 12:03 PM	07/04/1980 12:03 PM
07/04/1980 12:05 PM	07/04/1980 12:07 PM
07/04/1980 1:00 PM	07/04/1980 1:00 PM
07/04/1980 1:05 PM	07/04/1980 1:06 PM
07/04/1980 1:17 PM	07/04/1980 1:17 PM
07/04/1980 1:20 PM	07/04/1980 1:22 PM
07/04/1980 2:00 PM	07/04/1980 2:11 PM
07/04/1980 2:05 PM	07/04/1980 2:05 PM
07/04/1980 2:15 PM	07/04/1980 2:15 PM
07/04/1980 3:00 PM	07/04/1980 3:18 PM
07/04/1980 3:00 PM	07/04/1980 3:00 PM
07/04/1980 3:04 PM	07/04/1980 3:04 PM
07/04/1980 3:13 PM	07/04/1980 3:14 PM
07/04/1980 3:15 PM	07/04/1980 3:16 PM
07/04/1980 3:15 PM	07/04/1980 3:19 PM
07/04/1980 3:40 PM	07/04/1980 3:40 PM
07/04/1980 4:05 PM	07/04/1980 4:05 PM
07/04/1980 4:30 PM	07/04/1980 4:30 PM
07/04/1980 5:00 PM	07/04/1980 5:16 PM
07/04/1980 5:05 PM	07/04/1980 5:05 PM
07/04/1980 5:15 PM	07/04/1980 5:15 PM
07/04/1980 5:17 PM	07/04/1980 5:17 PM
07/04/1980 6:05 PM	07/04/1980 6:10 PM
07/04/1980 7:00 PM	07/04/1980 7:00 PM
07/04/1980 7:01 PM	07/04/1980 7:01 PM
07/04/1980 7:15 PM	07/04/1980 7:15 PM
07/04/1980 7:53 PM	07/04/1980 7:53 PM
07/04/1980 8:00 PM	07/04/1980 8:01 PM
07/04/1980 8:01 PM	07/04/1980 8:02 PM
07/04/1980 9:05 PM	07/04/1980 9:05 PM
07/04/1980 9:15 PM	07/04/1980 9:15 PM
07/04/1980 11:05 PM	
07/04/1980 11:35 PM	07/04/1980 11:35 PM
07/05/1980 2:40 AM	07/05/1980 2:40 AM
07/05/1980 3:00 AM	
07/05/1980 6:05 AM	07/05/1980 6:05 AM
07/05/1980 6:45 AM	07/05/1980 6:45 AM
07/05/1980 6:55 AM	07/05/1980 6:55 AM
07/05/1980 7:00 AM	07/05/1980 7:00 AM
07/05/1980 7:00 AM	07/05/1980 7:00 AM
07/05/1980 7:05 AM	07/05/1980 7:05 AM
07/05/1980 7:15 AM	07/05/1980 7:15 AM
07/05/1980 8:05 AM	07/05/1980 8:05 AM
07/05/1980 8:15 AM	07/05/1980 8:16 AM
07/05/1980 9:00 AM	07/05/1980 9:00 AM
07/05/1980 9:00 AM	07/05/1980 9:01 AM
07/05/1980 9:05 AM	07/05/1980 9:05 AM
07/05/1980 9:09 AM	07/05/1980 9:09 AM
07/05/1980 10:00 AM	07/05/1980 10:00 AM
07/05/1980 10:05 AM	07/05/1980 10:05 AM
07/05/1980 10:20 AM	07/05/1980 10:20 AM
07/05/1980 10:52 AM	07/05/1980 10:52 AM
07/05/1980 11:00 AM	07/05/1980 11:00 AM
07/05/1980 11:02 AM	07/05/1980 11:02 AM
07/05/1980 11:05 AM	07/05/1980 11:05 AM
07/05/1980 11:20 AM	07/05/1980 11:49 AM
07/05/1980 11:30 AM	07/05/1980 11:30 AM
07/05/1980 12:00 PM	07/05/1980 12:00 PM
07/05/1980 12:03 PM	07/05/1980 12:07 PM
07/05/1980 12:06 PM	07/05/1980 12:06 PM
07/05/1980 12:55 PM	07/05/1980 12:55 PM
07/05/1980 1:00 PM	07/05/1980 1:06 PM
07/05/1980 1:05 PM	07/05/1980 1:05 PM
07/05/1980 1:17 PM	07/05/1980 1:18 PM
07/05/1980 1:20 PM	07/05/1980 2:40 PM
07/05/1980 2:03 PM	07/05/1980 2:17 PM
07/05/1980 2:05 PM	07/05/1980 2:05 PM
07/05/1980 2:15 PM	07/05/1980 2:15 PM
07/05/1980 3:00 PM	07/05/1980 3:00 PM
07/05/1980 3:00 PM	07/05/1980 3:01 PM
07/05/1980 3:04 PM	07/05/1980 3:04 PM
07/05/1980 3:13 PM	07/05/1980 3:13 PM
07/05/1980 3:15 PM	07/05/1980 3:41 PM
07/05/1980 3:15 PM	07/05/1980 3:20 PM
07/05/1980 3:40 PM	07/05/1980 3:59 PM
07/05/1980 4:00 PM	07/05/1980 4:00 PM
07/05/1980 4:03 PM	07/05/1980 4:03 PM
07/05/1980 4:05 PM	07/05/1980 4:21 PM
07/05/1980 4:30 PM	07/05/1980 4:30 PM
07/05/1980 5:00 PM	07/05/1980 5:00 PM
07/05/1980 5:00 PM	07/05/1980 5:00 PM
07/05/1980 5:05 PM	07/05/1980 5:05 PM
07/05/1980 5:15 PM	07/05/1980 5:15 PM
07/05/1980 5:17 PM	07/05/1980 5:17 PM
07/05/1980 6:00 PM	07/05/1980 6:00 PM
07/05/1980 6:03 PM	07/05/1980 6:05 PM
07/05/1980 6:05 PM	07/05/1980 6:09 PM
07/05/1980 7:00 PM	07/05/1980 7:01 PM
07/05/1980 7:01 PM	07/05/1980 7:02 PM
07/05/1980 7:03 PM	07/05/1980 7:09 PM
07/05/1980 7:15 PM	07/05/1980 7:15 PM
07/05/1980 7:30 PM	07/05/1980 7:30 PM
07/05/1980 7:53 PM	07/05/1980 7:53 PM
07/05/1980 8:00 PM	07/05/1980 8:00 PM
07/05/1980 8:01 PM	07/05/1980 8:01 PM
07/05/1980 9:00 PM	07/05/1980 9:10 PM
07/05/1980 9:05 PM	07/05/1980 9:05 PM
07/05/1980 9:15 PM	07/05/1980 9:15 PM
07/05/1980 10:05 PM	07/05/1980 10:05 PM
07/05/1980 11:05 PM	07/05/1980 11:05 PM
07/05/1980 11:35 PM	07/05/1980 11:35 PM
07/05/1980 11:58 PM	07/05/1980 11:58 PM
07/06/1980 2:40 AM	07/06/1980 2:40 AM
07/06/1980 3:00 AM	07/06/1980 3:00 AM
07/06/1980 4:40 AM	07/06/1980 4:40 AM
07/06/1980 5:30 AM	07/06/1980 5:30 AM
07/06/1980 6:00 AM	07/06/1980 6:01 AM
07/06/1980 6:05 AM	07/06/1980 6:05 AM
07/06/1980 6:10 AM	07/06/1980 6:10 AM
07/06/1980 6:20 AM	07/06/1980 6:20 AM
07/06/1980 6:55 AM	07/06/1980 6:56 AM
07/06/1980 7:00 AM	07/06/1980 7:06 AM
07/06/1980 7:05 AM	07/06/1980 7:05 AM
07/06/1980 7:15 AM	07/06/1980 7:19 AM
07/06/1980 7:17 AM	07/06/1980 7:17 AM
07/06/1980 7:25 AM	07/06/1980 7:25 AM
07/06/1980 8:00 AM	
07/06/1980 8:00 AM	07/06/1980 8:00 AM
07/06/1980 8:10 AM	07/06/1980 8:10 AM
07/06/1980 8:15 AM	07/06/1980 8:27 AM
07/06/1980 8:30 AM	07/06/1980 8:30 AM
07/06/1980 9:00 AM	07/06/1980 9:10 AM
07/06/1980 9:30 AM	07/06/1980 9:30 AM
07/06/1980 9:35 AM	07/06/1980 9:38 AM
07/06/1980 10:00 AM	07/06/1980 10:00 AM
07/06/1980 10:03 AM	07/06/1980 10:05 AM
07/06/1980 10:20 AM	07/06/1980 10:20 AM
07/06/1980 10:35 AM	07/06/1980 11:12 AM
07/06/1980 10:52 AM	07/06/1980 10:52 AM
07/06/1980 11:00 AM	07/06/1980 11:13 AM
07/06/1980 11:00 AM	07/06/1980 11:00 AM
07/06/1980 11:02 AM	07/06/1980 11:05 AM
07/06/1980 11:20 AM	07/06/1980 11:21 AM
07/06/1980 11:33 AM	07/06/1980 11:33 AM
07/06/1980 11:35 AM	07/06/1980 11:35 AM
07/06/1980 12:00 PM	07/06/1980 12:00 PM
07/06/1980 12:03 PM	07/06/1980 12:03 PM
07/06/1980 12:05 PM	07/06/1980 12:14 PM
07/06/1980 12:30 PM	07/06/1980 12:31 PM
07/06/1980 12:35 PM	07/06/1980 12:41 PM
07/06/1980 1:00 PM	07/06/1980 1:03 PM
07/06/1980 1:03 PM	07/06/1980 1:03 PM
07/06/1980 1:20 PM	07/06/1980 1:20 PM
07/06/1980 2:00 PM	07/06/1980 2:22 PM
07/06/1980 2:00 PM	07/06/1980 2:00 PM
07/06/1980 2:02 PM	07/06/1980 2:13 PM
07/06/1980 2:11 PM	07/06/1980 2:12 PM
07/06/1980 2:15 PM	07/06/1980 2:15 PM
07/06/1980 2:20 PM	07/06/1980 2:20 PM
07/06/1980 2:44 PM	07/06/1980 2:45 PM
07/06/1980 3:00 PM	07/06/1980 3:00 PM
07/06/1980 3:00 PM	07/06/1980 3:00 PM
07/06/1980 3:05 PM	07/06/1980 3:05 PM
07/06/1980 3:15 PM	07/06/1980 3:15 PM
07/06/1980 3:15 PM	07/06/1980 3:15 PM
07/06/1980 3:30 PM	07/06/1980 4:05 PM
07/06/1980 3:35 PM	07/06/1980 3:35 PM
07/06/1980 3:40 PM	07/06/1980 3:40 PM
07/06/1980 4:00 PM	07/06/1980 4:12 PM
07/06/1980 4:00 PM	07/06/1980 4:12 PM
07/06/1980 4:03 PM	07/06/1980 4:03 PM
07/06/1980 4:05 PM	07/06/1980 4:05 PM
07/06/1980 4:40 PM	07/06/1980 4:40 PM
07/06/1980 4:42 PM	07/06/1980 4:42 PM
07/06/1980 5:00 PM	07/06/1980 5:00 PM
07/06/1980 5:00 PM	07/06/1980 5:00 PM
07/06/1980 5:10 PM	07/06/1980 5:10 PM
07/06/1980 5:39 PM	07/06/1980 5:39 PM
07/06/1980 5:42 PM	07/06/1980 6:18 PM
07/06/1980 5:47 PM	07/06/1980 5:49 PM
07/06/1980 6:00 PM	07/06/1980 6:00 PM
07/06/1980 6:00 PM	07/06/1980 6:06 PM
07/06/1980 6:25 PM	07/06/1980 6:25 PM
07/06/1980 6:35 PM	07/06/1980 6:35 PM
07/06/1980 6:45 PM	07/06/1980 6:48 PM
07/06/1980 6:45 PM	07/06/1980 6:45 PM
07/06/1980 7:00 PM	07/06/1980 7:01 PM
07/06/1980 7:00 PM	07/06/1980 7:10 PM
07/06/1980 7:15 PM	07/06/1980 7:15 PM
07/06/1980 7:40 PM	07/06/1980 7:41 PM
07/06/1980 7:50 PM	07/06/1980 7:50 PM
07/06/1980 8:00 PM	07/06/1980 8:10 PM
07/06/1980 8:55 PM	07/06/1980 8:55 PM
07/06/1980 9:05 PM	07/06/1980 9:05 PM
07/06/1980 9:10 PM	07/06/1980 9:12 PM
07/06/1980 10:05 PM	07/06/1980 10:10 PM
07/06/1980 10:45 PM	07/06/1980 10:45 PM
07/06/1980 11:15 PM	07/06/1980 11:15 PM
07/07/1980 2:40 AM	07/07/1980 2:40 AM
07/07/1980 3:00 AM	07/07/1980 3:00 AM
07/07/1980 4:40 AM	07/07/1980 4:40 AM
07/07/1980 5:30 AM	07/07/1980 5:30 AM
07/07/1980 6:00 AM	07/07/1980 6:01 AM
07/07/1980 6:05 AM	07/07/1980 6:07 AM
07/07/1980 6:10 AM	07/07/1980 6:12 AM
07/07/1980 6:20 AM	07/07/1980 6:22 AM
07/07/1980 6:55 AM	07/07/1980 6:55 AM
07/07/1980 7:00 AM	07/07/1980 7:00 AM
07/07/1980 7:05 AM	07/07/1980 7:07 AM
07/07/1980 7:15 AM	07/07/1980 7:17 AM
07/07/1980 7:17 AM	07/07/1980 7:17 AM
07/07/1980 7:25 AM	07/07/1980 7:25 AM
07/07/1980 8:00 AM	07/07/1980 8:00 AM
07/07/1980 8:00 AM	07/07/1980 8:01 AM
07/07/1980 8:10 AM	07/07/1980 8:10 AM
07/07/1980 8:15 AM	07/07/1980 8:17 AM
07/07/1980 8:30 AM	07/07/1980 8:43 AM
07/07/1980 9:00 AM	07/07/1980 9:01 AM
07/07/1980 9:30 AM	07/07/1980 9:30 AM
07/07/1980 9:35 AM	07/07/1980 9:52 AM
07/07/1980 10:00 AM	07/07/1980 10:02 AM
07/07/1980 10:03 AM	07/07/1980 10:04 AM
07/07/1980 10:20 AM	07/07/1980 10:21 AM
07/07/1980 10:35 AM	07/07/1980 10:40 AM
07/07/1980 10:52 AM	07/07/1980 10:52 AM
07/07/1980 11:00 AM	07/07/1980 11:03 AM
07/07/1980 11:00 AM	07/07/1980 11:01 AM
07/07/1980 11:02 AM	07/07/1980 11:02 AM
07/07/1980 11:20 AM	07/07/1980 11:22 AM
07/07/1980 11:33 AM	07/07/1980 11:33 AM
07/07/1980 11:35 AM	07/07/1980 11:46 AM
07/07/1980 12:00 PM	07/07/1980 12:00 PM
07/07/1980 12:03 PM	07/07/1980 12:09 PM
07/07/1980 12:05 PM	07/07/1980 12:05 PM
07/07/1980 12:30 PM	07/07/1980 12:34 PM
07/07/1980 12:35 PM	07/07/1980 12:37 PM
07/07/1980 1:00 PM	07/07/1980 1:00 PM
07/07/1980 1:03 PM	07/07/1980 1:22 PM
07/07/1980 1:20 PM	07/07/1980 1:23 PM
07/07/1980 2:00 PM	07/07/1980 2:23 PM
07/07/1980 2:00 PM	07/07/1980 2:19 PM
07/07/1980 2:02 PM	07/07/1980 4:05 PM
07/07/1980 2:11 PM	07/07/1980 2:12 PM
07/07/1980 2:15 PM	07/07/1980 2:22 PM
07/07/1980 2:20 PM	07/07/1980 2:20 PM
07/07/1980 2:44 PM	07/07/1980 2:44 PM
07/07/1980 3:00 PM	
07/07/1980 3:00 PM	07/07/1980 3:00 PM
07/07/1980 3:05 PM	07/07/1980 3:05 PM
07/07/1980 3:15 PM	07/07/1980 3:15 PM
07/07/1980 3:15 PM	07/07/1980 3:19 PM
07/07/1980 3:30 PM	07/07/1980 3:35 PM
